customer_id,name,email,region,member_since,credit_limit,customer_segment
CUST000001,Allison Hill,donaldgarcia@example.net,Northeast,2024-08-02,5000,Gold
CUST000002,Javier Johnson,jesseguzman@example.net,Southeast,2021-10-24,10000,Silver
CUST000003,Kimberly Robinson,lisa02@example.net,Northeast,2022-09-16,50000,Bronze
CUST000004,Daniel Gallagher,daviscolin@example.com,Southwest,2023-06-08,25000,Bronze
CUST000005,Monica Herrera,smiller@example.net,Northeast,2023-06-29,5000,Silver
CUST000006,Laura Bush,stanleykendra@example.org,Southeast,2024-06-09,50000,Bronze
CUST000007,Jamie Chavez,francisco53@example.net,Southwest,2022-02-01,10000,Platinum
CUST000008,Maria Lynch,amandasanchez@example.com,Southeast,2022-07-15,25000,Gold
CUST000009,Margaret Hawkins DDS,perezantonio@example.com,Northeast,2022-08-16,10000,Platinum
CUST000010,Thomas Bradley,jason76@example.net,Midwest,2022-11-08,15000,Silver
CUST000011,David Hoffman,julie69@example.com,Southeast,2022-06-19,15000,Bronze
CUST000012,Brenda Snyder PhD,hernandezernest@example.net,Northeast,2022-09-15,25000,Bronze
CUST000013,James Ferrell,tasha01@example.net,Midwest,2024-07-22,15000,Gold
CUST000014,Patricia Peterson,ryan70@example.net,Northeast,2024-07-09,25000,Bronze
CUST000015,Jonathan White,harrellkenneth@example.net,West,2023-01-18,5000,Gold
CUST000016,James Martin,georgetracy@example.org,Southwest,2024-09-25,15000,Silver
CUST000017,Sandra Parker,allenashley@example.org,Northeast,2021-05-12,5000,Silver
CUST000018,Mr. Philip Cannon,donnaarroyo@example.org,Midwest,2022-01-29,5000,Silver
CUST000019,Jenny Lewis,jenniferross@example.net,Northeast,2023-08-14,25000,Gold
CUST000020,Joseph Martinez,calebsmith@example.net,West,2021-12-09,15000,Silver
CUST000021,Benjamin Welch,carlosjohnson@example.com,Midwest,2021-04-20,15000,Silver
CUST000022,Michael Lewis,jenniferkhan@example.net,Midwest,2022-11-28,5000,Silver
CUST000023,Rhonda Lee,hopkinsmichael@example.com,Southwest,2022-11-20,10000,Silver
CUST000024,Megan Joyce,brownjessica@example.org,West,2022-01-05,25000,Gold
CUST000025,Jerry Henderson,steven17@example.net,Southwest,2021-05-30,10000,Gold
CUST000026,Kimberly Smith,housemelinda@example.org,Northeast,2022-08-23,10000,Bronze
CUST000027,Dr. Steven Martin,gallowayjoseph@example.com,Midwest,2022-02-27,25000,Gold
CUST000028,Monica Logan,smoore@example.org,Northeast,2024-11-22,10000,Gold
CUST000029,Kimberly Adkins,williamsthomas@example.net,Southeast,2021-08-25,25000,Platinum
CUST000030,Angela Lopez,leonardjoe@example.org,West,2024-10-13,10000,Gold
CUST000031,Lauren Williams,barnesbrandy@example.net,Southeast,2022-04-14,10000,Gold
CUST000032,Michael Edwards,randy47@example.com,Southwest,2024-09-25,25000,Platinum
CUST000033,Alexandra Howell,jonesjason@example.com,Midwest,2021-07-19,10000,Silver
CUST000034,Benjamin Sanchez,eric84@example.net,Southwest,2024-12-14,25000,Bronze
CUST000035,Kendra Contreras,sarah12@example.com,Northeast,2021-06-24,5000,Silver
CUST000036,Juan Nelson,jenniferharris@example.net,Southeast,2024-06-06,25000,Bronze
CUST000037,Danielle Odonnell,davisrodney@example.com,West,2021-03-12,25000,Platinum
CUST000038,Carlos Whitney,joycearnold@example.com,Southwest,2023-04-06,15000,Bronze
CUST000039,Tony Vazquez,amydavenport@example.net,Northeast,2023-03-25,50000,Gold
CUST000040,Andrew Diaz,nolanjason@example.org,Midwest,2023-09-08,5000,Gold
CUST000041,Justin Baxter,sarayoung@example.org,West,2024-12-03,10000,Platinum
CUST000042,Sierra Johnson,kimberly63@example.com,Northeast,2021-08-27,15000,Silver
CUST000043,Janet Williams,dwalker@example.com,Southwest,2022-03-28,5000,Gold
CUST000044,Crystal Johnson,raymondramirez@example.org,Southwest,2024-11-19,50000,Silver
CUST000045,Martin Ross,sheila14@example.org,Southeast,2023-05-05,15000,Silver
CUST000046,Mrs. Linda Reed,samuel81@example.com,Southwest,2024-08-13,50000,Bronze
CUST000047,Andrew Graham,michaeljones@example.net,Southwest,2024-09-13,15000,Platinum
CUST000048,Mary Martinez,william65@example.com,Northeast,2023-10-22,5000,Gold
CUST000049,Cheryl Ortega,lbyrd@example.net,Midwest,2023-04-18,10000,Bronze
CUST000050,Roy Torres,russellcarpenter@example.net,Southeast,2022-04-22,50000,Bronze
